release_year,release_month,release_year_month,relative_relevance_health,relative_relevance_justice,relative_relevance_money,relative_relevance_police,relative_relevance_politics
2003,3,2003-03,0.0,0.0438551015310949,0.0,0.0408505533565496,0.0
2003,6,2003-06,0.0,0.0,0.0081367125825383,0.0,0.0
2003,8,2003-08,0.01422832545844665,0.0159986850827348,0.0,0.0,0.0
2003,9,2003-09,0.030631198417622966,0.0,0.0021463590747437997,0.0,0.0
2003,10,2003-10,0.0099231212881236,0.04923574483483574,0.0129281342748446,0.00209570705427718,0.0
2003,11,2003-11,0.013218261259866549,0.008126650332726434,0.0,0.0,0.0
2003,12,2003-12,0.0164489904974397,0.0114114308876416,0.0,0.0,0.0
2004,1,2004-01,0.027632671093813125,0.0,0.004921634070110825,0.0,0.0
2004,2,2004-02,0.028357885967566037,0.03880835027202982,0.02041377611833982,0.01088510284464736,0.0
2004,3,2004-03,0.034520480468370196,0.0,0.0,0.0,0.0
2004,4,2004-04,0.09124572600562993,0.009997354324242634,0.0174399996065642,0.0,0.0
2004,5,2004-05,0.00748358714324285,0.0,0.0,0.0,0.0
2004,6,2004-06,0.03976340461950315,0.006646880960806463,0.007944160410557524,0.00077220049976175,0.0
2004,7,2004-07,0.0,0.03458900066649033,0.0,0.0,0.0
2004,8,2004-08,0.028102914992794298,0.0153292646525594,0.0,0.003247975925137,0.0
2004,9,2004-09,0.01348854652002614,0.0,0.028852248011634628,0.0013498051732026201,0.0
2004,10,2004-10,0.07395918278350486,0.0,0.03445428467701465,0.0,0.0
2004,11,2004-11,0.028649836542501972,0.0,0.0018307893245912501,0.0,0.0
2004,12,2004-12,0.0,0.0,0.1492314845674647,0.0,0.0
2005,1,2005-01,0.01554777502716895,0.0,0.017864607503643815,0.01669986752919912,0.0016699867529199
2005,2,2005-02,0.03272842162534183,0.007320950317345125,0.0,0.001551168364484525,0.0
2005,3,2005-03,0.014351158941415434,0.0,0.0,0.0,0.0
2005,4,2005-04,0.011338071840237487,0.031118214982904666,0.0017976962678337375,0.0043315540696264,0.0
2005,5,2005-05,0.043460992745946,0.0,0.0,0.009661099094445267,0.0
2005,6,2005-06,0.02431688286989266,0.01943286783662574,0.0,0.00135789991528178,0.0
2005,7,2005-07,0.0146861928730744,0.0,0.022707373845598514,0.0015057616538184284,0.0
2005,8,2005-08,0.0476531114852068,0.0,0.0,0.0,0.0
2005,9,2005-09,0.005661463204052166,0.028945679914719698,0.05061552566720338,0.0016355607367239666,0.0
2005,10,2005-10,0.020641216650793867,0.0,0.0,0.0,0.0
2005,11,2005-11,0.017651209062122218,0.01989774288792298,0.018742751476310878,0.040754729023544836,0.0038702719008581596
2005,12,2005-12,0.022881364660321,0.0,0.0,0.004067940555867321,0.0
2006,1,2006-01,0.006244179460401,0.0,0.0,0.0,0.0
2006,2,2006-02,0.047330955761116136,0.03477788080199048,0.00700769303904452,0.007368763090230141,0.0
2006,3,2006-03,0.002257575347188575,0.0,0.0,0.0,0.0
2006,4,2006-04,0.024120853688194277,0.0,0.0,0.0,0.0
2006,5,2006-05,0.029756720178283763,0.037183481026057535,0.0045794158645011,0.0,0.0
2006,6,2006-06,0.0,0.0,0.0,0.0,0.0
2006,7,2006-07,0.03611070489359195,0.005337833374907288,0.032216367020101375,0.0,0.0
2006,8,2006-08,0.0,0.03750059305802195,0.019781131415582475,0.0,0.0
2006,9,2006-09,0.045252979807478624,0.014579946655844663,0.038846371917684336,0.0,0.0
2006,10,2006-10,0.01026161449980658,0.006390200013544239,0.0,0.0,0.0
2006,11,2006-11,0.0921664429620701,0.0109795334044431,0.0,0.0,0.0
2006,12,2006-12,0.02541981228106235,0.0,0.0,0.0,0.0
2007,1,2007-01,0.0,0.0,0.0,0.041136064691912,0.0
2007,2,2007-02,0.013653418976296988,0.00688031237267441,0.02970500320604331,0.0,0.0
2007,3,2007-03,0.041854477689115696,0.0,0.0052662316556083,0.0,0.0
2007,4,2007-04,0.04512934695369865,0.0521534762393117,0.0,0.0,0.0
