label,num_words,language,weight,type_relation,term_conceptnet,input_term
agency,1,en,2.0,Synonym,/c/en/agency,authority
control,1,en,2.0,IsA,/c/en/control,authority
expert,1,en,2.0,IsA,/c/en/expert,authority
permission,1,en,2.0,IsA,/c/en/permission,authority
person,1,en,2.0,IsA,/c/en/person,authority
book,1,en,2.0,IsA,/c/en/book,authority
assurance,1,en,2.0,Synonym,/c/en/assurance,authority
enforce,1,en,1.0,RelatedTo,/c/en/enforce,authority
authoritarian,1,en,1.0,RelatedTo,/c/en/authoritarian,authority
power,1,en,1.0,RelatedTo,/c/en/power,authority
autoridad,1,es,1.0,Synonym,/c/es/autoridad,authority
authorization,1,en,1.0,RelatedTo,/c/en/authorization,authority
government,1,en,1.0,RelatedTo,/c/en/government,authority
authoritative,1,en,1.0,RelatedTo,/c/en/authoritative,authority
author,1,en,1.0,RelatedTo,/c/en/author,authority
wrong,1,en,1.0,HasProperty,/c/en/wrong,authority
authority,1,en,0.5,Synonym,/c/en/authority,authority
nation,1,en,7.052942648285182,RelatedTo,/c/en/nation,country
land,1,en,4.638534251247909,RelatedTo,/c/en/land,country
states,1,en,4.154515615568198,RelatedTo,/c/en/states,country
state,1,en,4.042771326701524,RelatedTo,/c/en/state,country
a CONTINENT,2,en,4.0,AtLocation,/c/en/continent,country
usa,1,en,3.327461494893667,RelatedTo,/c/en/usa,country
place,1,en,3.16227766016838,RelatedTo,/c/en/place,country
music,1,en,2.9318935860634507,RelatedTo,/c/en/music,country
america,1,en,2.5314027731674784,RelatedTo,/c/en/america,country
continent,1,en,2.504396134799764,RelatedTo,/c/en/continent,country
united,1,en,2.2458851261807666,RelatedTo,/c/en/united,country
united states,2,en,2.0976176963403024,RelatedTo,/c/en/united_states,country
area,1,en,2.030763403255042,RelatedTo,/c/en/area,country
administrative district,2,en,2.0,IsA,/c/en/administrative_district,country
geographical area,2,en,2.0,IsA,/c/en/geographical_area,country
rural,1,en,1.8849999999999998,RelatedTo,/c/en/rural,country
france,1,en,1.7249999999999996,RelatedTo,/c/en/france,country
region,1,en,1.6639999999999997,RelatedTo,/c/en/region,country
canada,1,en,1.601,RelatedTo,/c/en/canada,country
england,1,en,1.5979999999999999,RelatedTo,/c/en/england,country
