S002VS,S003,S007,S017,S018,S020,C006,E069_06,E069_07,E069_17,G006,A009
3,840,8400320001,0.50021,0.648508,1995,9,2,2,2,1,2
3,840,8400320002,0.87037,0.648508,1995,8,1,3,3,1,1
3,840,8400320003,1.42561,0.648508,1995,2,3,3,3,2,3
3,840,8400320004,0.88037,0.648508,1995,9,2,2,2,1,1
3,840,8400320005,0.65028,0.648508,1995,2,2,3,3,2,1
3,840,8400320006,0.65528,0.648508,1995,9,2,2,3,2,2
3,840,8400320007,0.81034,0.648508,1995,4,2,3,2,1,3
3,840,8400320008,1.1855,0.648508,1995,4,2,3,3,1,1
3,840,8400320009,0.72031,0.648508,1995,10,2,3,3,1,1
3,840,8400320010,0.79034,0.648508,1995,9,3,3,3,1,1
3,840,8400320011,0.90538,0.648508,1995,10,3,4,3,1,3
3,840,8400320012,0.79034,0.648508,1995,6,1,1,1,1,1
3,840,8400320013,1.29555,0.648508,1995,8,2,2,2,1,1
3,840,8400320014,0.69029,0.648508,1995,6,3,3,3,1,2
3,840,8400320015,0.65528,0.648508,1995,4,3,3,3,1,2
3,840,8400320016,1.1855,0.648508,1995,5,1,3,3,1,3
3,840,8400320017,1.13048,0.648508,1995,5,1,3,-1,1,1
3,840,8400320018,0.83535,0.648508,1995,8,1,3,2,1,1
3,840,8400320019,0.50021,0.648508,1995,4,2,3,2,1,3
3,840,8400320020,0.53523,0.648508,1995,5,2,3,2,1,3
3,840,8400320021,1.63069,0.648508,1995,4,3,3,3,1,2
3,840,8400320022,0.83535,0.648508,1995,10,2,2,4,1,2
3,840,8400320023,0.56024,0.648508,1995,7,2,2,3,1,1
3,840,8400320024,0.82535,0.648508,1995,8,2,3,3,2,1
3,840,8400320025,0.77533,0.648508,1995,10,1,3,1,1,2
3,840,8400320026,0.54023,0.648508,1995,7,3,3,3,1,2
3,840,8400320027,0.88037,0.648508,1995,6,2,4,3,1,2
3,840,8400320028,0.83535,0.648508,1995,6,2,2,3,1,3
3,840,8400320029,0.90538,0.648508,1995,5,2,4,2,1,3
3,840,8400320030,0.90538,0.648508,1995,5,2,3,3,1,3
3,840,8400320031,1.12548,0.648508,1995,5,1,4,3,1,3
3,840,8400320032,1.68572,0.648508,1995,4,2,3,3,1,3
3,840,8400320033,0.52522,0.648508,1995,10,1,3,4,2,2
3,840,8400320034,0.82535,0.648508,1995,7,2,3,2,1,2
3,840,8400320035,2.10089,0.648508,1995,3,2,2,3,2,1
3,840,8400320036,0.99042,0.648508,1995,7,3,3,3,1,2
3,840,8400320037,0.6953,0.648508,1995,6,3,3,3,1,2
3,840,8400320038,1.32556,0.648508,1995,6,3,3,3,2,2
3,840,8400320039,0.59525,0.648508,1995,1,2,2,2,1,1
3,840,8400320040,0.61026,0.648508,1995,7,2,3,3,1,2
3,840,8400320041,0.83535,0.648508,1995,9,3,3,2,-3,1
3,840,8400320042,0.76032,0.648508,1995,6,2,2,2,1,1
3,840,8400320043,0.53023,0.648508,1995,7,2,3,2,2,2
3,840,8400320044,0.64027,0.648508,1995,6,2,2,1,1,1
3,840,8400320045,0.59525,0.648508,1995,7,3,2,2,1,2
3,840,8400320046,0.50021,0.648508,1995,6,2,2,3,1,1
3,840,8400320047,0.68029,0.648508,1995,9,2,2,2,1,2
3,840,8400320048,0.9454,0.648508,1995,8,2,2,3,1,3
3,840,8400320049,1.62569,0.648508,1995,7,1,3,3,1,1
3,840,8400320050,2.20093,0.648508,1995,8,1,2,3,1,1
3,840,8400320051,1.70572,0.648508,1995,9,2,3,3,1,3
3,840,8400320052,4.22179,0.648508,1995,4,2,4,3,1,1
3,840,8400320053,1.99585,0.648508,1995,8,2,3,3,1,2
3,840,8400320054,0.91539,0.648508,1995,10,2,2,3,1,1
3,840,8400320055,2.361,0.648508,1995,3,2,3,3,2,3
3,840,8400320056,0.76032,0.648508,1995,1,3,3,3,1,3
3,840,8400320057,0.90038,0.648508,1995,5,3,3,2,1,2
3,840,8400320058,0.76032,0.648508,1995,10,1,3,2,1,1
3,840,8400320059,2.80119,0.648508,1995,5,3,4,3,1,2
3,840,8400320060,0.59025,0.648508,1995,4,2,2,2,1,2
