year,ranking,title,artist
2004,1,Yeah!,Usher featuring Lil Jon and Ludacris
2004,2,Burn,Usher
2004,3,If I Ain't Got You,Alicia Keys
2004,4,This Love,Maroon 5
2004,5,The Way You Move,OutKast featuring Sleepy Brown
2004,6,The Reason,Hoobastank
2004,7,I Don't Wanna Know,Mario Winans featuring Enya and P. Diddy
2004,8,Hey Ya!,OutKast
2004,9,Goodies,Ciara featuring Petey Pablo
2004,10,Lean Back,Terror Squad featuring Fat Joe and Remy Ma
2004,11,Tipsy,J-Kwon
2004,12,Confessions Part II,Usher
2004,13,Slow Motion,Juvenile featuring Soulja Slim
2004,14,Freek-a-Leek,Petey Pablo
2004,15,Here Without You,3 Doors Down
2004,16,Slow Jamz,Twista featuring Kanye West and Jamie Foxx
2004,17,Someday,Nickelback
2004,18,Naughty Girl,Beyoncé
2004,19,My Immortal,Evanescence
2004,20,Sunshine,Lil' Flip featuring Lea
2004,21,Dirt off Your Shoulder,Jay-Z
2004,22,Move Ya Body,Nina Sky featuring Jabba
2004,23,Dip It Low,Christina Milian
2004,24,My Boo,Usher and Alicia Keys
2004,25,One Call Away,Chingy featuring J-Weav
2004,26,"Me, Myself and I",Beyoncé
2004,27,Turn Me On,Kevin Lyttle featuring Spragga Benz
2004,28,The First Cut Is the Deepest,Sheryl Crow
2004,29,You Don't Know My Name,Alicia Keys
2004,30,My Place,Nelly featuring Jaheim
2004,31,Overnight Celebrity,Twista
2004,32,Hotel,Cassidy featuring R. Kelly
2004,33,Numb,Linkin Park
2004,34,Diary,Alicia Keys featuring Tony! Toni! Toné!
2004,35,She Will Be Loved,Maroon 5
2004,36,White Flag,Dido
2004,37,Heaven,Los Lonely Boys
2004,38,It's My Life,No Doubt
2004,39,Pieces of Me,Ashlee Simpson
2004,40,Leave (Get Out),JoJo
2004,41,Milkshake,Kelis
2004,42,Splash Waterfalls,Ludacris
2004,43,Jesus Walks,Kanye West
2004,44,Locked Up,Akon featuring Styles P
2004,45,Stand Up,Ludacris featuring Shawnna
2004,46,Suga Suga,Baby Bash featuring Frankie J
2004,47,All Falls Down,Kanye West featuring Syleena Johnson
2004,48,Toxic,Britney Spears
2004,49,Salt Shaker,Ying Yang Twins featuring Lil Jon & the East Side Boyz
2004,50,With You,Jessica Simpson
2004,51,Meant to Live,Switchfoot
2004,52,I Like That,"Houston featuring Chingy, Nate Dogg and I-20"
2004,53,Sorry 2004,Ruben Studdard
2004,54,My Happy Ending,Avril Lavigne
2004,55,On Fire,Lloyd Banks
2004,56,Roses,OutKast
2004,57,Walked Outta Heaven,Jagged Edge
2004,58,Lose My Breath,Destiny's Child
2004,59,My Band,D12
2004,60,I'm Still in Love with You,Sean Paul featuring Sasha
2004,61,Through the Wire,Kanye West
2004,62,Why?,Jadakiss featuring Anthony Hamilton
2004,63,Fuck It (I Don't Want You Back),Eamon
2004,64,Read Your Mind,Avant
2004,65,Game Over (Flip),Lil' Flip
2004,66,One Thing,Finger Eleven
2004,67,Headsprung,LL Cool J
2004,68,Damn!,YoungBloodZ featuring Lil Jon
2004,69,Baby Boy,Beyoncé featuring Sean Paul
2004,70,Get Low,Lil Jon & the East Side Boyz featuring Ying Yang Twins
2004,71,Drop It Like It's Hot,Snoop Dogg featuring Pharrell
2004,72,U Should've Known Better,Monica
2004,73,On the Way Down,Ryan Cabrera
2004,74,Breakaway,Kelly Clarkson
2004,75,Why Don't You & I,Santana featuring Alex Band or Chad Kroeger
2004,76,Are You Gonna Be My Girl,Jet
2004,77,100 Years,Five for Fighting
2004,78,Step in the Name of Love,R. Kelly
2004,79,Breaking the Habit,Linkin Park
2004,80,Gigolo,Nick Cannon featuring R. Kelly
2004,81,Live Like You Were Dying,Tim McGraw
2004,82,Remember When,Alan Jackson
2004,83,Everytime,Britney Spears
2004,84,Southside,Lloyd featuring Ashanti
2004,85,Dude,Beenie Man featuring Ms. Thing
2004,86,Wanna Get to Know You,G-Unit featuring Joe
2004,87,Holidae In,Chingy featuring Ludacris and Snoop Dogg
2004,88,Let's Get It Started,The Black Eyed Peas
2004,89,When the Sun Goes Down,Kenny Chesney and Uncle Kracker
2004,90,American Soldier,Toby Keith
2004,91,Change Clothes,Jay-Z
2004,92,Don't Tell Me,Avril Lavigne
2004,93,You'll Think of Me,Keith Urban
2004,94,Happy People,R. Kelly
2004,95,Hey Mama,The Black Eyed Peas
2004,96,Over and Over,Nelly featuring Tim McGraw
2004,97,Redneck Woman,Gretchen Wilson
2004,98,Just Lose It,Eminem
2004,99,Letters from Home,John Michael Montgomery
2004,100,I Go Back,Kenny Chesney
2005,1,We Belong Together,Mariah Carey
2005,2,Hollaback Girl,Gwen Stefani
2005,3,Let Me Love You,Mario
2005,4,Since U Been Gone,Kelly Clarkson
2005,5,"1, 2 Step",Ciara featuring Missy Elliott
2005,6,Gold Digger,Kanye West featuring Jamie Foxx
2005,7,Boulevard of Broken Dreams,Green Day
2005,8,Candy Shop,50 Cent featuring Olivia
2005,9,Don't Cha,The Pussycat Dolls featuring Busta Rhymes
2005,10,Behind These Hazel Eyes,Kelly Clarkson
2005,11,Disco Inferno,50 Cent
2005,12,You and Me,Lifehouse
2005,13,Don't Phunk with My Heart,The Black Eyed Peas
2005,14,Lose Control,Missy Elliott featuring Ciara and Fatman Scoop
2005,15,Shake It Off,Mariah Carey
2005,16,Mr. Brightside,The Killers
2005,17,Just a Lil Bit,50 Cent
2005,18,Pon de Replay,Rihanna
2005,19,How We Do,The Game featuring 50 Cent
2005,20,Beverly Hills,Weezer
2005,21,Oh,Ciara featuring Ludacris
2005,22,Lonely No More,Rob Thomas
2005,23,Drop It Like It's Hot,Snoop Dogg featuring Pharrell
2005,24,Hate It or Love It,The Game featuring 50 Cent
2005,25,Lovers & Friends,Lil Jon & the East Side Boyz featuring Usher and Ludacris
2005,26,Soldier,Destiny's Child featuring T.I. and Lil Wayne
2005,27,Breakaway,Kelly Clarkson
2005,28,Switch,Will Smith
2005,29,Let Me Hold You,Bow Wow featuring Omarion
2005,30,Like You,Bow Wow featuring Ciara
2005,31,Rich Girl,Gwen Stefani featuring Eve
2005,32,My Humps,The Black Eyed Peas
2005,33,Obsession (No Es Amor),Frankie J featuring Baby Bash
2005,34,Caught Up,Usher
2005,35,Listen to Your Heart,DHT featuring Edmee
2005,36,Scars,Papa Roach
2005,37,Feel Good Inc.,Gorillaz
2005,38,Let Me Go,3 Doors Down
2005,39,Holiday,Green Day
2005,40,"Sugar, We're Goin Down",Fall Out Boy
2005,41,Grind with Me,Pretty Ricky
2005,42,Run It!,Chris Brown featuring Juelz Santana
2005,43,Photograph,Nickelback
2005,44,Lonely,Akon
2005,45,Collide,Howie Day
2005,46,Wake Me Up When September Ends,Green Day
