year,ranking,title,artist,lyrics,song_url,producers,writers,label,released_on,tags,month,In English,Pop,Rap,R&B,Electro-Pop,Rock,usa,year_month
2004,1,Yeah!,Usher featuring Lil Jon and Ludacris,"[Intro: USHER & Lil Jon]
Peace up, A-Town down
Yeah (Yeah)
Okay (Okay)
Usher, Usher
And Lil Jon
Yeah-yeah-yeah, yeah, yeah, yeah
Yeah-yeah-yeah, yeah, yeah, yeah (What it do, shawty?)
Let's go
[Verse 1: USHER & Lil Jon]
Up in the club with my homies
Tryna get a little V-I, keep it down on the low-key (Low-key)
'Cause you know how it is (Hey, hey)
I saw this shorty, she was checkin' up on me
From the game she was spittin' in my ear, you would think that she know me (Know me)
I decided to chill (Okay)
Conversation got heavy (Hey)
She had me feelin' like she's ready to blow
Watch out! (Oh)
Watch out!
She was sayin', ""Come get me"" (Come get me)
So I got up and followed her to the floor
She said, ""Baby, let's go"" (Let's go)
When I told her, I said",https://genius.com/usher-yeah-lyrics,['Lil Jon'],"['Sean Garrett', 'Rob McDowell', 'Patrick “J. Que” Smith', 'Ludacris', 'L-Roc', 'Lil Jon', 'LaMarquis Jefferson']","['Arista Records', 'LaFace Records']","January 27, 2004","['Crunk', 'Pop Rap', 'Contemporary R&B', 'Dirty South', 'Dance-Pop', 'Southern Rap', 'Hip-Hop', 'Pop', 'R&B', 'In English', 'USA', 'Rap', 'Atlanta Rap']",1,1,1,1,1,0,0,1,2004-01
2004,2,Burn,Usher,"[Intro]
Girl, I understand why
See, it's burnin' me to hold on to this
I know this is somethin' I gotta do
But that don't mean I want to
What I'm tryna say is that, I... love you, I just...
I feel like this... is comin' to an end
And it's better for me to... let it go now
Than hold on and hurt you
But I gotta let it burn
[Verse 1]
It's gon' burn for me to say this, but it's comin' from my heart
It's been a long time comin', but we done been fell apart
Really wanna work this out, but I don't think you're gonna change
I do, but you don't, think it's best we go our separate ways
Tell me why I should stay in this relationship
When I'm hurtin', baby, I ain't happy, baby
Plus there's so many other things I gotta deal with
I think that you should let it burn
[Chorus]
When your feelin' ain't the same and your body don't want to
But you know, gotta let it go 'cause the party ain't
Jumpin' like it used to, even though this might bruise you (No, no)
Let it burn (Yeah), let it burn (Ooh), gotta let it burn
Deep down, you know it's best for yourself, but you
Hate the thought of her bein' with someone else
But you know that it's over, we knew it was through (Yeah)
Let it burn (Let it burn, woah), let it burn (Let it burn), gotta let it burn",https://genius.com/usher-burn-lyrics,"['Jermaine Dupri', 'Bryan-Michael Cox']","['Jermaine Dupri', 'Bryan-Michael Cox', 'USHER']","['LaFace Records', 'Arista Records']","March 21, 2004","['Soul Pop', 'USA', 'Soul', 'Pop', 'R&B', 'In English']",3,1,1,0,1,0,0,1,2004-03
2004,3,If I Ain't Got You,Alicia Keys,"[Intro]
Mm-mm
Mm-mm, oh
Mm-mm
[Verse 1]
Some people live for the fortune
Some people live just for the fame
Some people live for the power, yeah
Some people live just to play the game
[Pre-Chorus]
Some people think that the physical things
Define what's within
And I've been there before, but that life's a bore
So full of the superficial
[Chorus]
Some people want it all
But I don't want nothin' at all
If it ain't you, baby
If I ain't got you, baby
Some people want diamond rings
Some just want everything
But everything means nothin'
If I ain't got you, yeah",https://genius.com/alicia-keys-if-i-aint-got-you-lyrics,['Alicia Keys'],['Alicia Keys'],['J Records'],"February 17, 2004","['Ballad', 'R&B', 'In English', 'Soul Pop', 'USA', 'Soul', 'Adult Contemporary', 'Pop', 'Singer-Songwriter']",2,1,1,0,1,0,0,1,2004-02
2004,4,This Love,Maroon 5,"[Verse 1]
I was so high I did not recognize
The fire burning in her eyes
The chaos that controlled my mind
Whispered goodbye as she got on a plane
Never to return again
But always in my heart, oh
[Chorus]
This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice
'Cause I won't say goodbye anymore
[Post-Chorus]
Woah, oh, oh
Woah, oh, oh
Woah, oh, oh, oh
[Verse 2]
I tried my best to feed her appetite
Keep her coming every night
So hard to keep her satisfied, oh
Kept playing love like it was just a game
Pretending to feel the same
Then turn around and leave again
But uh-oh",https://genius.com/maroon-5-this-love-lyrics,"['Mark Endert', 'Matt Wallace']","['Jesse Carmichael', 'Adam Levine']","['J Records', 'Octone Records']","June 25, 2002","['Alternative R&B', 'Bubblegum Pop', 'Pop-Rock', 'Neo Soul', 'Alternative', 'Indie Pop', 'Soul Rock', 'Adult Alternative', 'Funk-Pop', 'Electro-Funk', 'Pop', 'Contemporary R&B', 'Funk Rock', 'Funk', 'Adult Contemporary', 'USA', 'Dance Rock', 'Alternative Rock', 'Soul', 'In English', 'Teen Pop', 'Rock', 'Dance-Pop', 'Soul Pop', 'Pop-R&B', 'R&B', 'Alternative Dance', 'Alternative Pop', 'Indie Rock', 'Dance', 'Independent']",6,1,1,0,1,0,1,1,2004-06
2004,5,The Way You Move,OutKast featuring Sleepy Brown,"[Intro: Big Boi]
Boom, boom, boom
Ha-ha!
[Verse 1: Big Boi]
Ready for action, nip it in the bud
We never relaxing, OutKast is everlasting
Not clashing, not at all
But, see, my nigga went to do a little acting
Now, that's for anyone asking, give me one, pass 'em
Drip-drip-drop—there goes an eargasm
Now you cumming out the side of your face
We tapping right into your memory banks (Thanks!)
So ""click it or ticket,"" let's see your seat belt fastened
Trunk rattling, like two midgets in the backseat 'rassling
Speakerboxxx vibrate the tag
Make it sound like aluminum cans in the bag
But I know y'all wanted that 808
Can you feel that B-A-S-S, bass?
But I know y'all wanted that 808
Can you feel that B-A-S-S, bass?
[Chorus: Sleepy Brown]
I like the way you move
I like the way you move, woo-ooh-ooh
I love the way you move
I love the way, I love the way
I love the way you move
I love the way you move, woo-ooh-ooh
I love the way you move
I love the way, I love the way",https://genius.com/outkast-the-way-you-move-lyrics,"['Big Boi', 'Carl Mo']","['Sleepy Brown', 'Big Boi', 'Carl Mo']","['Arista Records', 'LaFace Records']","September 23, 2003","['Atlanta Rap', 'In English', 'Soul Pop', 'Soul Rap', 'Pop Rap', 'R&B', 'Rap', 'Dirty South', 'Alternative R&B', 'Alternative Rap', 'USA', 'Funk', 'Soul']",9,1,0,1,1,0,0,1,2004-09
2004,6,The Reason,Hoobastank,"[Verse 1]
I'm not a perfect person
There's many things I wish I didn't do
But I continue learning
I never meant to do those things to you
And so I have to say before I go
That I just want you to know
[Chorus]
I've found a reason for me
To change who I used to be
A reason to start over new
And the reason is you
[Verse 2]
I'm sorry that I hurt you
It's something I must live with every day
And all the pain I put you through
I wish that I could take it all away
And be the one who catches all your tears
That's why I need you to hear
[Chorus]
I've found a reason for me
To change who I used to be
A reason to start over new
And the reason is you",https://genius.com/hoobastank-the-reason-lyrics,['Howard Benson'],"['Dan Estrin', 'Douglas Robb']","['Def Jam Recordings', 'Island Records']","December 9, 2003","['Rock', 'Soundtrack', 'Adult Contemporary', 'USA', 'In English', 'Ballad', 'Alternative Rock']",12,1,0,0,0,0,1,1,2004-12
2004,7,I Don't Wanna Know,Mario Winans featuring Enya and P. Diddy,"[Intro: Diddy and Mario Winans]
Hold up, let me answer my phone
Some bitch callin' me about some bullshit probably
I'ma call you right back, I'm doin' this mixtape right now
Now back to what I was sayin'...
I just can't believe this, man
It's just another night of these thoughts
Can't get this out of my head
Yeah
[Verse 1: Mario Winans]
Somebody said they saw you
The person you were kissing wasn't me
And I would never ask you
I just kept it to myself
[Chorus: Mario Winans]
I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please don't let it show
Oh, baby
I don't wanna know
Oh, oh, baby
[Verse 2: Mario Winans]
I think about it when I hold you
When lookin' in your eyes, I can't believe
I don't need to know the truth
Baby, keep it to yourself",https://genius.com/mario-winans-i-dont-wanna-know-lyrics,['Mario Winans'],"['Erick Sermon', 'Loon', 'Mario Winans', 'Nicky Ryan', 'Roma Ryan', 'PMD', 'Michael Carlos Jones', 'Enya']","['Universal Records', 'Bad Boy Entertainment']","November 18, 2003","['Soul Pop', 'Rap', 'USA', 'In English', 'Soul', 'Pop', 'Ballad', 'R&B', 'Pop-R&B', 'Neo Soul']",11,1,1,1,1,0,0,1,2004-11
2004,8,Hey Ya!,OutKast,"[Intro: André 3000]
One, two, three, uh!
[Verse 1: André 3000]
My baby don't mess around
Because she loves me so, and this I know for sure (Uh)
But does she really wanna
But can't stand to see me walk out the door? (Ah)
Don't try to fight the feeling
'Cause the thought alone is killing me right now (Uh)
Thank God for Mom and Dad
For sticking two together 'cause we don't know how (C'mon)
[Chorus: André 3000]
Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!
[Verse 2: André 3000]
You think you've got it, oh, you think you've got it
But ""got it"" just don't get it 'til there's nothing at all (Ah!)
We get together, oh, we get together
But separate's always better when there's feelings involved (Ah)
If what they say is, ""Nothing is forever""
Then what makes, then what makes, then what makes
Then what makes, what makes, what makes love the exception?
So why oh, why oh, why oh, why oh, why oh
Are we so in denial when we know we're not happy here?
Y'all don't wanna hear me, you just wanna dance",https://genius.com/outkast-hey-ya-lyrics,['André 3000'],['André 3000'],"['Arista Records', 'LaFace Records']","September 9, 2003","['Electro-Funk', 'Pop Rap', 'Dance', 'Funk-Pop', 'Dance-Pop', 'Neo Soul', 'Pop-Rock', 'Synth-Pop', 'Funk', 'Pop', 'R&B', 'Soul Pop', 'Rap', 'Synth Funk']",9,0,1,1,1,0,0,0,2004-09
2004,9,Goodies,Ciara featuring Petey Pablo,"[Intro: Ciara]
My goodies, my goodies, my goodies
Not my goodies (Ow!)
[Verse 1: Petey Pablo & Ciara]
I got a sick reputation for handlin' broads
All I need is me a few seconds or more (A few seconds or more)
And it's a wrap, tell valet to bring my 'Lac
And I ain't comin' back
So you can put a car right there (Put a car right there)
I'm the truth, and I ain't got nothin' to prove
And you can ask anybody 'cause they seen me do it (They seen me do it)
Barricades? I run right through 'em, used to 'em
Throw all the dirt you want, it's no use
You still won't have a pin-up in a fabulous room
On her back, pickin' out baskets of fruit (I love you, boo)
Yeah, Freak and Petey love you too (Yeah), ha-ha
You know how I do it (That goodie, goodie)
[Verse 2: Ciara]
You may look at me and think that I'm just a young girl
But I'm not just a young girl
Baby, this is what I'm lookin' for
Sexy, independent, gotta spend it type that's gettin' his dough
I'm not bein' too dramatic, that's the way I gotta have it",https://genius.com/ciara-goodies-lyrics,['Lil Jon'],"['Craig Love', 'Ciara', 'LaMarquis Jefferson', 'Lil Jon', 'Sean Garrett']","['Arista Records', 'Sho’nuff Records']","June 8, 2004","['Atlanta Rap', 'USA', 'Dirty South', 'Rap', 'R&B', 'Crunk', 'Aa (Check Description)', 'In English']",6,1,0,1,1,0,0,1,2004-06
2004,10,Lean Back,Terror Squad featuring Fat Joe and Remy Ma,"[Intro: Fat Joe]
Owwwwww! Yeah! My niggas, ahah
Throw your hands in the air right now, man!
Feel this shit right here,
Scott Storch, nigga
Yeah Khaled, I see you nigga
,
ShowBiz, Born Lord
Uh, yeah, uh, yo
[Verse 1: Fat Joe]
I don't give a fuck about your faults or mishappens
Nigga, we from the Bronx, New York, shit happens
Kids clappin', love to spark the place
Half the niggas in the Squad got a scar on their face
It's a cold world and this is ice
Half a mil' for the charm, nigga, this is life
Got the Phantom in front of the building, Trinity Ave
Ten years been legit, they still figure me bad
As a youngin, was too much to cope with
Why you think, muh'fuckers nicknamed me Cook Coke shit?
Should've been called Armed Robbery
Extortion, or maybe Grand Larceny
I did it all
, I put the pieces to the puzzle
Just as long, I knew me and my peoples was gon' bubble
Came out the gate on some Flo-Jo shit
Fat nigga with the shotty was the logo, kid
[Chorus: Fat Joe]
I said my niggas don't dance
We just pull up our pants and, do the Rockaway
Now lean back, lean back
Lean back, lean back (come on!)
I said my niggas don't dance
We just pull up our pants and, do the Rockaway
Now lean back, lean back
Lean back, lean back (come on!)",https://genius.com/terror-squad-lean-back-lyrics,['Scott Storch'],"['Remy Ma', 'Fat Joe', 'Scott Storch']","['SRC Records', 'Universal Music Group', 'Terror Squad Entertainment']","June 8, 2004","['Soundtrack', 'Dance', 'In English', 'Pop Rap', 'New York Rap', 'Gaming', 'Rap', 'East Coast Rap', 'Gangsta Rap', 'USA']",6,1,0,1,0,0,0,1,2004-06
