Category: All categories

Month,health: (United States),money: (United States),justice: (United States),police: (United States),politics: (United States)
2004-01,82,30,10,31,4
2004-02,80,29,11,28,5
2004-03,79,30,10,30,5
2004-04,79,30,11,29,5
2004-05,74,28,9,29,4
2004-06,81,28,9,30,4
2004-07,75,29,9,32,4
2004-08,78,29,10,29,4
2004-09,79,29,10,31,6
2004-10,83,28,11,32,10
2004-11,77,29,11,29,7
2004-12,69,30,9,29,4
2005-01,78,28,10,30,3
2005-02,82,30,11,31,4
2005-03,76,30,10,32,4
2005-04,78,31,10,31,4
2005-05,75,32,10,33,4
2005-06,75,30,10,32,3
2005-07,75,30,10,32,2
2005-08,72,28,9,33,3
2005-09,76,29,11,31,3
2005-10,77,31,11,32,4
2005-11,74,30,11,30,4
2005-12,65,30,9,29,3
2006-01,80,32,10,31,3
2006-02,72,31,10,30,4
2006-03,74,31,10,30,4
2006-04,77,33,10,30,4
2006-05,70,32,10,29,4
2006-06,69,30,8,31,2
2006-07,70,31,8,31,2
2006-08,73,30,8,32,2
2006-09,71,32,9,32,4
2006-10,75,33,10,31,5
2006-11,71,31,10,29,5
2006-12,61,32,8,29,3
2007-01,74,33,9,30,3
2007-02,71,33,9,38,3
2007-03,69,33,9,33,3
2007-04,70,33,9,32,3
2007-05,70,34,9,33,3
2007-06,70,33,8,35,2
2007-07,71,35,8,34,2
2007-08,72,36,9,34,2
2007-09,71,35,10,32,3
2007-10,79,36,10,33,4
2007-11,73,35,9,31,4
2007-12,59,36,9,27,4
2008-01,74,38,9,30,6
2008-02,71,37,9,32,7
2008-03,72,39,10,30,6
2008-04,71,39,10,31,5
2008-05,68,38,9,31,6
2008-06,65,38,8,31,4
2008-07,69,40,8,32,4
2008-08,66,37,8,30,6
2008-09,66,43,8,29,11
2008-10,73,46,10,29,15
2008-11,64,42,10,29,10
2008-12,60,41,9,27,4
2009-01,69,42,9,29,4
2009-02,71,44,9,31,4
2009-03,69,45,10,31,4
2009-04,69,42,9,31,4
2009-05,68,41,9,28,3
2009-06,69,39,8,29,3
2009-07,74,40,9,31,2
2009-08,82,38,10,29,3
2009-09,82,36,10,30,4
2009-10,82,39,10,29,4
2009-11,83,39,10,29,4
2009-12,66,43,10,28,3
2010-01,73,43,10,28,3
2010-02,73,41,10,27,3
2010-03,97,41,10,30,4
2010-04,74,41,11,29,4
2010-05,64,39,11,30,4
2010-06,65,38,9,29,3
2010-07,59,38,9,30,2
2010-08,62,36,10,29,3
2010-09,63,36,9,28,4
2010-10,62,38,10,28,5
2010-11,62,37,11,26,4
2010-12,56,40,11,26,3
2011-01,69,43,12,32,3
2011-02,66,42,12,32,3
2011-03,69,42,13,31,3
2011-04,67,46,12,32,3
2011-05,65,43,12,31,3
2011-06,66,43,12,32,2
2011-07,62,46,13,32,2
2011-08,64,45,12,33,3
2011-09,69,44,11,32,3
2011-10,63,40,13,32,4
2011-11,62,41,13,30,4
2011-12,56,42,13,29,3
2012-01,67,45,12,32,4
2012-02,64,44,12,30,4
2012-03,62,39,13,30,4
2012-04,63,42,14,33,4
2012-05,62,41,13,32,4
2012-06,63,43,13,32,3
2012-07,62,45,13,32,3
2012-08,62,42,13,32,4
2012-09,61,43,12,31,7
2012-10,64,39,14,31,11
2012-11,58,42,14,29,8
2012-12,49,41,13,29,3
2013-01,61,42,13,32,3
2013-02,61,41,13,32,3
2013-03,62,40,14,30,3
2013-04,63,40,13,34,3
2013-05,61,43,12,32,3
2013-06,60,45,12,31,2
2013-07,62,41,14,34,2
2013-08,65,42,12,32,2
2013-09,68,44,11,31,3
2013-10,78,47,11,31,4
2013-11,67,42,12,30,3
2013-12,62,44,12,29,3
2014-01,66,50,11,29,3
2014-02,68,47,12,29,3
2014-03,71,45,11,31,3
2014-04,65,46,12,31,3
2014-05,63,45,11,32,3
2014-06,62,46,11,32,2
2014-07,63,47,12,33,2
2014-08,61,44,12,36,2
2014-09,65,41,15,32,3
2014-10,70,42,11,32,4
2014-11,62,40,12,32,4
2014-12,61,44,12,37,3
2015-01,68,44,11,32,2
2015-02,70,45,11,29,3
2015-03,66,47,12,34,3
2015-04,67,46,11,37,3
2015-05,61,48,10,37,3
2015-06,67,45,11,35,2
2015-07,67,49,12,38,2
2015-08,67,47,12,34,3
2015-09,68,44,10,35,4
2015-10,67,44,11,32,4
2015-11,67,40,12,33,4
2015-12,61,46,12,34,3
2016-01,70,50,10,31,3
2016-02,71,48,15,31,6
2016-03,67,45,15,32,7
2016-04,66,46,13,32,5
2016-05,63,51,11,32,4
2016-06,62,47,10,33,4
2016-07,61,46,14,57,5
2016-08,69,43,13,34,6
2016-09,67,45,11,37,7
2016-10,66,44,12,33,9
2016-11,68,45,14,32,9
2016-12,60,47,12,29,3
2017-01,72,50,12,31,4
2017-02,72,48,12,32,5
2017-03,74,46,13,32,4
2017-04,69,46,11,32,4
2017-05,71,50,11,32,4
2017-06,69,48,11,33,3
2017-07,69,46,12,35,3
2017-08,70,48,12,34,3
2017-09,68,46,10,31,3
2017-10,74,45,13,31,4
2017-11,70,46,32,30,4
2017-12,65,50,18,30,3
2018-01,74,54,12,31,3
2018-02,77,54,13,34,4
2018-03,70,47,13,34,4
2018-04,74,49,11,32,4
2018-05,68,49,11,33,3
2018-06,66,47,13,33,3
2018-07,68,48,15,34,3
2018-08,71,46,12,33,3
2018-09,72,48,12,32,4
2018-10,76,48,13,30,6
2018-11,71,48,13,29,5
2018-12,65,51,12,28,3
2019-01,75,52,11,31,3
2019-02,75,51,11,31,4
2019-03,75,48,11,30,3
2019-04,75,51,11,31,3
2019-05,73,50,10,33,3
2019-06,69,48,9,33,3
2019-07,71,49,11,33,3
2019-08,71,49,11,32,3
2019-09,75,53,10,30,4
2019-10,79,45,9,31,4
2019-11,67,48,10,28,4
2019-12,66,49,10,29,3
2020-01,79,53,10,30,3
2020-02,78,51,10,28,5
2020-03,99,59,9,26,4
2020-04,85,71,9,26,3
